,price,surface,bedrooms,restrooms,location_name,tiene_ascensor,tiene_parking,tiene_piscina,tiene_terraza,es_costa,es_montana
237,750,61,2,1,A Coruña,0,1,0,0,1,0
238,600,70,2,1,A Coruña,1,0,0,0,1,0
239,550,21,1,1,A Coruña,0,0,0,0,1,0
240,1255,67,2,2,A Coruña,1,0,0,0,1,0
241,800,95,3,2,A Coruña,1,0,0,0,1,0
242,400,65,1,1,A Coruña,0,0,0,0,1,0
243,430,45,1,1,A Coruña,1,0,0,0,1,0
244,600,78,2,2,A Coruña,1,0,0,1,1,0
245,580,88,3,2,A Coruña,1,0,0,0,1,0
246,1050,69,2,1,A Coruña,1,0,0,0,1,0
247,600,49,2,1,A Coruña,1,0,0,0,1,0
248,580,70,2,1,A Coruña,0,0,0,0,1,0
249,875,137,4,2,A Coruña,1,0,0,0,1,0
250,650,60,2,1,A Coruña,1,0,0,0,1,0
251,800,90,3,2,A Coruña,1,0,0,0,1,0
252,525,60,1,1,A Coruña,1,0,0,0,1,0
253,600,52,1,1,A Coruña,0,0,0,0,1,0
254,550,65,2,1,A Coruña,1,0,0,0,1,0
255,400,42,1,1,A Coruña,1,0,0,0,1,0
256,730,70,2,1,A Coruña,0,0,0,0,1,0
257,1100,119,2,2,A Coruña,1,0,0,0,1,0
258,600,90,3,2,A Coruña,0,0,0,1,1,0
259,525,68,2,1,A Coruña,1,0,0,0,1,0
260,700,77,2,2,A Coruña,1,0,0,0,1,0
261,1400,115,3,2,A Coruña,1,0,0,0,1,0
262,350,65,1,1,A Coruña,0,0,0,0,1,0
263,750,79,2,2,A Coruña,1,0,0,0,1,0
264,890,95,3,2,A Coruña,1,0,0,0,1,0
266,400,84,3,1,A Coruña,0,0,0,0,1,0
267,660,82,3,1,A Coruña,1,0,0,0,1,0
268,700,90,3,2,A Coruña,1,0,0,0,1,0
269,800,87,2,2,A Coruña,1,0,0,0,1,0
270,570,94,2,1,A Coruña,0,0,0,0,1,0
271,650,79,3,1,A Coruña,0,0,0,0,1,0
272,870,100,3,2,A Coruña,1,0,0,0,1,0
273,900,110,4,2,A Coruña,1,0,0,0,1,0
274,600,85,2,1,A Coruña,0,0,0,0,1,0
275,925,150,3,3,A Coruña,0,0,0,0,1,0
276,700,86,3,1,A Coruña,1,0,0,0,1,0
277,875,109,3,2,A Coruña,0,0,0,0,1,0
278,760,100,4,2,A Coruña,0,0,0,0,1,0
279,675,80,3,2,A Coruña,1,0,0,0,1,0
280,650,82,3,1,A Coruña,1,0,0,0,1,0
281,765,80,2,2,A Coruña,1,0,0,0,1,0
282,800,115,4,2,A Coruña,1,0,0,0,1,0
283,900,130,4,2,A Coruña,1,0,0,0,1,0
284,1500,90,3,2,A Coruña,1,0,0,0,1,0
285,480,90,4,2,A Coruña,0,0,0,0,1,0
286,650,80,2,2,A Coruña,1,0,0,0,1,0
288,690,100,4,2,A Coruña,1,0,0,0,1,0
289,600,75,3,1,A Coruña,0,0,0,0,1,0
290,650,80,3,1,A Coruña,1,0,0,0,1,0
291,525,50,1,1,A Coruña,1,0,0,0,1,0
292,400,76,2,1,A Coruña,0,0,0,0,1,0
293,720,100,4,2,A Coruña,1,0,0,0,1,0
294,520,86,3,1,A Coruña,0,0,0,0,1,0
295,550,84,3,2,A Coruña,1,0,0,0,1,0
296,850,80,2,2,A Coruña,0,0,0,0,1,0
297,1600,100,3,2,A Coruña,1,0,0,0,1,0
298,1500,130,4,3,A Coruña,1,0,0,0,1,0
299,850,132,3,2,A Coruña,1,0,0,0,1,0
300,470,72,2,1,A Coruña,0,0,0,1,1,0
301,600,84,2,1,A Coruña,0,0,0,0,1,0
302,1400,100,4,3,A Coruña,0,0,0,0,1,0
303,750,70,1,1,A Coruña,1,0,0,0,1,0
304,1200,120,2,2,A Coruña,1,0,0,0,1,0
305,700,63,2,3,A Coruña,1,0,0,0,1,0
306,500,80,2,1,A Coruña,0,0,0,0,1,0
307,950,95,2,2,A Coruña,1,1,0,0,1,0
308,770,68,1,1,A Coruña,1,0,0,0,1,0
309,1000,105,3,2,A Coruña,1,0,0,0,1,0
310,800,90,2,2,A Coruña,0,0,0,0,1,0
311,580,90,3,2,A Coruña,0,0,0,0,1,0
312,650,42,1,1,A Coruña,1,0,0,0,1,0
313,890,118,3,2,A Coruña,1,0,0,0,1,0
314,550,97,4,1,A Coruña,0,0,0,0,1,0
315,570,70,2,2,A Coruña,1,0,0,0,1,0
316,550,90,3,2,A Coruña,0,0,0,0,1,0
318,600,90,3,2,A Coruña,0,0,0,0,1,0
319,450,90,3,2,A Coruña,0,0,0,0,1,0
320,625,90,3,2,A Coruña,0,0,0,0,1,0
321,450,60,2,1,A Coruña,0,0,0,0,1,0
322,650,113,3,2,A Coruña,1,0,0,0,1,0
323,425,60,2,1,A Coruña,0,0,0,0,1,0
324,450,60,2,1,A Coruña,0,0,0,0,1,0
325,450,60,2,1,A Coruña,1,0,0,0,1,0
326,500,58,2,1,A Coruña,1,0,0,0,1,0
327,400,60,2,1,A Coruña,0,0,0,0,1,0
328,450,75,2,2,A Coruña,0,0,0,0,1,0
329,450,60,2,1,A Coruña,0,0,0,0,1,0
330,880,120,4,2,A Coruña,1,0,0,0,1,0
331,550,90,3,2,A Coruña,0,0,0,0,1,0
332,500,90,3,2,A Coruña,0,0,0,0,1,0
333,650,100,4,2,A Coruña,0,0,0,1,1,0
334,450,60,2,1,A Coruña,1,0,0,0,1,0
335,850,120,4,2,A Coruña,1,0,0,0,1,0
336,450,60,2,1,A Coruña,1,0,0,0,1,0
337,425,60,2,1,A Coruña,1,0,0,0,1,0
338,450,60,2,2,A Coruña,0,0,0,0,1,0
339,550,100,4,1,A Coruña,0,0,0,0,1,0
340,450,60,2,1,A Coruña,0,0,0,0,1,0
341,450,60,2,1,A Coruña,0,0,0,0,1,0
342,750,110,4,2,A Coruña,0,0,0,0,1,0
343,425,60,2,1,A Coruña,0,0,0,0,1,0
344,425,60,2,1,A Coruña,0,0,0,0,1,0
345,425,60,2,1,A Coruña,1,0,0,0,1,0
346,630,80,3,1,A Coruña,1,1,0,0,1,0
347,470,82,2,1,A Coruña,0,0,0,0,1,0
349,750,100,3,2,A Coruña,0,0,0,0,1,0
350,425,62,2,1,A Coruña,0,0,0,0,1,0
351,575,65,2,1,A Coruña,1,0,0,0,1,0
352,400,60,2,1,A Coruña,0,0,0,0,1,0
353,450,60,2,1,A Coruña,0,0,0,0,1,0
354,425,60,2,1,A Coruña,0,0,0,0,1,0
355,650,95,4,1,A Coruña,1,0,0,0,1,0
356,425,60,2,1,A Coruña,1,0,0,0,1,0
357,600,100,4,1,A Coruña,1,0,0,0,1,0
358,400,55,2,1,A Coruña,0,0,0,0,1,0
359,425,55,2,1,A Coruña,0,0,0,0,1,0
360,450,60,2,1,A Coruña,0,0,0,0,1,0
361,475,60,2,1,A Coruña,0,0,0,0,1,0
362,400,60,2,1,A Coruña,0,0,0,0,1,0
363,2000,130,3,1,A Coruña,0,0,0,0,1,0
364,750,95,4,2,A Coruña,1,0,0,0,1,0
365,450,60,2,1,A Coruña,0,0,0,0,1,0
366,750,85,3,1,A Coruña,0,0,0,1,1,0
367,600,120,3,1,A Coruña,1,0,0,0,1,0
368,550,85,3,1,A Coruña,0,0,0,0,1,0
369,550,75,3,1,A Coruña,0,0,0,0,1,0
370,900,90,3,2,A Coruña,1,0,0,0,1,0
371,550,85,3,1,A Coruña,0,0,0,0,1,0
373,700,85,3,2,A Coruña,1,0,0,0,1,0
374,900,90,3,2,A Coruña,1,0,0,1,1,0
375,650,85,3,1,A Coruña,1,0,0,1,1,0
376,400,45,2,1,A Coruña,1,0,0,0,1,0
378,750,104,3,2,A Coruña,1,0,0,0,1,0
379,500,60,2,1,A Coruña,0,0,0,0,1,0
380,650,100,3,2,A Coruña,0,0,0,0,1,0
381,550,89,3,1,A Coruña,1,0,0,0,1,0
382,450,55,2,1,A Coruña,0,0,0,0,1,0
383,900,80,3,2,A Coruña,0,0,0,0,1,0
384,900,128,5,2,A Coruña,1,0,0,0,1,0
385,325,35,1,1,A Coruña,0,0,0,0,1,0
386,275,30,1,1,A Coruña,1,0,0,0,1,0
387,350,45,1,1,A Coruña,0,0,0,0,1,0
388,350,55,1,1,A Coruña,0,0,0,0,1,0
389,800,100,4,2,A Coruña,0,0,0,1,1,0
390,800,85,3,2,A Coruña,1,0,0,0,1,0
391,1300,120,5,2,A Coruña,1,0,0,0,1,0
392,425,50,1,1,A Coruña,1,0,0,0,1,0
393,350,40,1,1,A Coruña,1,0,0,0,1,0
394,375,55,1,1,A Coruña,1,0,0,0,1,0
395,600,120,5,2,A Coruña,0,0,0,0,1,0
396,375,40,1,1,A Coruña,1,0,0,0,1,0
397,480,80,3,1,A Coruña,0,0,0,0,1,0
398,600,55,2,1,A Coruña,1,0,0,0,1,0
399,600,124,3,3,A Coruña,1,1,0,0,1,0
401,550,65,2,1,A Coruña,1,0,0,0,1,0
402,715,85,2,2,A Coruña,1,1,0,0,1,0
403,890,110,3,2,A Coruña,1,1,0,0,1,0
404,450,120,3,2,A Coruña,0,1,0,0,1,0
405,475,90,3,1,A Coruña,0,0,0,0,1,0
406,450,70,3,1,A Coruña,0,0,0,0,1,0
407,450,37,1,1,A Coruña,0,0,0,0,1,0
408,675,70,3,1,A Coruña,0,0,0,1,1,0
409,1000,80,3,1,A Coruña,0,0,0,1,1,0
410,550,80,3,1,A Coruña,0,0,0,0,1,0
411,460,100,4,2,A Coruña,1,0,0,0,1,0
412,350,85,3,2,A Coruña,0,0,0,0,1,0
413,280,40,1,1,A Coruña,0,0,0,0,1,0
414,290,30,1,1,A Coruña,0,0,0,0,1,0
415,600,90,3,1,A Coruña,0,0,0,0,1,0
416,400,75,3,1,A Coruña,0,0,0,0,1,0
417,700,70,3,1,A Coruña,1,0,0,0,1,0
418,400,60,2,1,A Coruña,0,0,0,0,1,0
419,420,82,2,1,A Coruña,1,0,0,0,1,0
421,600,90,3,1,A Coruña,0,0,0,0,1,0
422,500,61,1,2,A Coruña,0,0,0,0,1,0
424,320,35,1,1,A Coruña,0,0,0,0,1,0
425,550,65,2,2,A Coruña,1,0,0,0,1,0
