id;title;status;release_date;revenue;runtime;adult;budget;imdb_id;original_language;original_title;genre;averageRating;year;nominees;awards;ROI
11005;Awakenings;Released;04/12/1990;52096475;120;FALSO;31000000;tt0099077;en;Awakenings;Drama;78;1990.0;3.0;0.0;1.6805314516129033
9360;Anaconda;Released;11/04/1997;136885767;89;FALSO;45000000;tt0118615;en;Anaconda;Adventure;50;1997.0;0.0;0.0;3.041905933333333
463272;Johnny English Strikes Again;Released;13/09/2018;158972499;89;FALSO;25000000;tt6921996;en;Johnny English Strikes Again;Action;62;2018.0;0.0;0.0;6.35889996
2292;Clerks;Released;19/10/1994;3151130;92;FALSO;27575;tt0109445;en;Clerks;Comedy;77;1994.0;0.0;0.0;114.27488667271079
951;Kindergarten Cop;Released;21/12/1990;201957688;111;FALSO;15000000;tt0099938;en;Kindergarten Cop;Comedy;63;1990.0;0.0;0.0;13.463845866666666
88794;J. Edgar;Released;09/11/2011;84606030;137;FALSO;35000000;tt1616195;en;J. Edgar;Drama;65;2011.0;0.0;0.0;2.417315142857143
9408;Surf's Up;Released;08/06/2007;149044513;85;FALSO;85000000;tt0423294;en;Surf's Up;Animation;67;2007.0;1.0;0.0;1.7534648588235293
10316;The Ides of March;Released;24/09/2011;76338111;101;FALSO;12500000;tt1124035;en;The Ides of March;Drama;71;2011.0;1.0;0.0;6.10704888
23048;Hot Tub Time Machine;Released;26/03/2010;64780213;101;FALSO;36000000;tt1231587;en;Hot Tub Time Machine;Science Fiction;64;2010.0;0.0;0.0;1.799450361111111
41436;Paranormal Activity 2;Released;20/10/2010;177512032;91;FALSO;3000000;tt1536044;en;Paranormal Activity 2;Horror;57;2010.0;0.0;0.0;59.17067733333333
77987;Only God Forgives;Released;30/05/2013;10337387;90;FALSO;4800000;tt1602613;en;Only God Forgives;Drama;57;2013.0;0.0;0.0;2.1536222916666667
282984;Irrational Man;Released;17/07/2015;27391084;95;FALSO;11000000;tt3715320;en;Irrational Man;Drama;66;2015.0;0.0;0.0;2.4900985454545457
23047;Season of the Witch;Released;07/01/2011;91627228;95;FALSO;40000000;tt0479997;en;Season of the Witch;Adventure;54;2011.0;0.0;0.0;2.2906807
522162;Midway;Released;06/11/2019;127420861;138;FALSO;100000000;tt6924650;en;Midway;Action;67;2019.0;0.0;0.0;1.27420861
888;The Flintstones;Released;26/05/1994;341631208;91;FALSO;46000000;tt0109813;en;The Flintstones;Fantasy;51;1994.0;0.0;0.0;7.426765391304348
11545;Rushmore;Released;11/12/1998;17096053;93;FALSO;9000000;tt0128445;en;Rushmore;Comedy;76;1998.0;0.0;0.0;1.8995614444444444
1645;A Time to Kill;Released;24/07/1996;152266007;149;FALSO;40000000;tt0117913;en;A Time to Kill;Crime;75;1996.0;0.0;0.0;3.806650175
9003;Hellraiser;Released;11/09/1987;14575193;93;FALSO;1000000;tt0093177;en;Hellraiser;Horror;69;1987.0;0.0;0.0;14.575193
