match_id,date,odd_1,odd_2,surface,round,tournament_type,rank_diff,wins2meses_p1,wins2meses_p2,ratio_superficie_p1,ratio_superficie_p2,h2h,ratio_ronda_p1,ratio_ronda_p2,experiencia_p1,experiencia_p2,target,is_new_p1,is_new_p2
2451,2008-01-07,0.1691842900302115,0.8308157099697885,Hard,1st Round,WTA250_o_menor,355.0,0.0,0.0,0.0,0.4642857142857143,0.0,0.0,0.7,3,53,0,1,0
2452,2008-01-07,0.7950530035335689,0.204946996466431,Hard,1st Round,WTA250_o_menor,-69.0,0.6666666666666666,0.0,0.6585365853658537,0.3076923076923077,1.0,0.8461538461538461,0.43478260869565216,45,35,1,0,0
2453,2008-01-08,0.204946996466431,0.7950530035335689,Hard,2nd Round,WTA250_o_menor,46.0,1.0,1.0,0.3076923076923077,0.6829268292682927,0.5,0.4,0.6428571428571429,21,50,0,0,0
2454,2008-01-08,0.645320197044335,0.354679802955665,Hard,2nd Round,WTA250_o_menor,-86.0,0.5,0.0,0.5,0.0,0.5,0.45454545454545453,0.3333333333333333,42,14,1,0,0
2455,2008-01-08,0.354679802955665,0.645320197044335,Hard,2nd Round,WTA250_o_menor,59.0,1.0,0.0,0.5,0.3333333333333333,0.5,0.4,0.0,2,19,0,1,0
2456,2008-01-08,0.4864864864864864,0.5135135135135135,Hard,2nd Round,WTA250_o_menor,37.0,1.0,0.0,0.375,0.5714285714285714,0.5,0.4,0.4444444444444444,19,26,1,0,0
2457,2008-01-08,0.5890052356020942,0.4109947643979057,Hard,2nd Round,WTA250_o_menor,-21.0,1.0,0.6666666666666666,0.4827586206896552,0.5,1.0,0.7777777777777778,0.3888888888888889,54,55,0,0,0
2458,2008-01-08,0.5774278215223098,0.4225721784776903,Hard,2nd Round,WTA250_o_menor,20.0,0.6666666666666666,0.5,0.4375,0.46153846153846156,0.0,0.14285714285714285,0.21428571428571427,23,43,1,0,0
2459,2008-01-08,0.1856677524429967,0.8143322475570033,Hard,2nd Round,WTA250_o_menor,36.0,1.0,0.75,0.6,0.6666666666666666,0.5,0.7142857142857143,0.8461538461538461,24,46,0,0,0
2460,2008-01-09,0.5376344086021505,0.4623655913978494,Hard,Quarterfinals,WTA250_o_menor,-18.0,0.75,1.0,0.47058823529411764,0.4444444444444444,0.5,0.4,0.5,24,20,1,0,0
2461,2008-01-09,0.4623655913978494,0.5376344086021505,Hard,Quarterfinals,WTA250_o_menor,-8.0,1.0,0.6666666666666666,0.6904761904761905,0.5666666666666667,0.0,0.5714285714285714,0.625,51,57,0,0,0
2462,2008-01-09,0.7662835249042146,0.2337164750957854,Hard,Quarterfinals,WTA250_o_menor,-37.0,0.8,0.6666666666666666,0.6744186046511628,0.5172413793103449,0.5,0.42857142857142855,0.5,47,43,1,0,0
2463,2008-01-09,0.2903930131004367,0.7096069868995633,Hard,Quarterfinals,WTA250_o_menor,43.0,0.5,0.75,0.375,0.5128205128205128,0.0,0.4,0.25,20,56,0,0,0
2464,2008-01-10,0.4225721784776903,0.5774278215223098,Hard,Semifinals,WTA250_o_menor,3.0,0.8,0.75,0.525,0.5806451612903226,0.5,0.0,0.3333333333333333,57,58,1,0,0
2465,2008-01-10,0.2337164750957854,0.7662835249042146,Hard,Semifinals,WTA250_o_menor,43.0,0.8,0.8333333333333334,0.5,0.6818181818181818,0.5,0.4,0.3333333333333333,25,48,0,0,0
2466,2008-01-06,0.5108983894961516,0.4891016105038485,Hard,1st Round,WTA250_o_menor,-35.0,0.0,0.0,0.5925925925925926,0.5,0.5,0.8571428571428571,0.5714285714285714,43,38,1,0,0
2467,2008-01-06,0.25,0.75,Hard,1st Round,WTA250_o_menor,45.0,0.0,0.0,0.42105263157894735,0.7105263157894737,0.0,0.5555555555555556,0.7272727272727273,29,51,0,0,0
2468,2008-01-06,0.4109947643979057,0.5890052356020942,Hard,1st Round,WTA250_o_menor,5.0,0.0,0.0,0.6170212765957447,0.71875,0.0,0.7307692307692307,0.6666666666666666,68,49,1,0,0
2469,2008-01-07,0.75,0.25,Hard,1st Round,WTA250_o_menor,-22.0,0.5,0.5,0.7450980392156863,0.5294117647058824,1.0,1.0,0.6521739130434783,70,52,0,0,0
2470,2008-01-07,0.5376344086021505,0.4623655913978494,Hard,1st Round,WTA250_o_menor,-7.0,0.5,0.6666666666666666,0.660377358490566,0.6363636363636364,1.0,0.7333333333333333,0.8571428571428571,75,66,1,0,0
2471,2008-01-07,0.25,0.75,Hard,1st Round,WTA250_o_menor,75.0,0.0,0.0,0.34615384615384615,0.46153846153846156,0.5,0.37037037037037035,0.7222222222222222,39,44,0,0,0
2472,2008-01-07,0.3923076923076922,0.6076923076923076,Hard,1st Round,WTA250_o_menor,24.0,0.0,0.6666666666666666,0.36363636363636365,0.48,0.5,0.5,0.6666666666666666,31,37,1,0,0
2473,2008-01-07,,,Hard,1st Round,WTA250_o_menor,66.0,0.0,0.0,0.5882352941176471,0.7111111111111111,0.5,0.45454545454545453,0.9285714285714286,22,55,0,0,0
2474,2008-01-07,0.8308157099697885,0.1691842900302115,Hard,1st Round,WTA250_o_menor,-102.0,0.6666666666666666,0.5,0.6666666666666666,0.21428571428571427,0.5,0.8421052631578947,0.3125,66,23,1,0,0
2475,2008-01-07,0.25,0.75,Hard,1st Round,WTA250_o_menor,41.0,0.0,0.0,0.375,0.5,0.5,0.46153846153846156,0.7142857142857143,27,73,0,0,0
2476,2008-01-07,0.1691842900302115,0.8308157099697885,Hard,1st Round,WTA250_o_menor,86.0,0.5,0.0,0.3333333333333333,0.7352941176470589,0.5,0.4166666666666667,1.0,18,53,1,0,0
2477,2008-01-07,0.1691842900302115,0.8308157099697885,Hard,1st Round,WTA250_o_menor,77.0,0.5,0.6666666666666666,0.4230769230769231,0.7222222222222222,0.5,0.45454545454545453,1.0,39,50,0,0,0
2478,2008-01-08,0.4109947643979057,0.5890052356020942,Hard,2nd Round,WTA250_o_menor,9.0,0.6666666666666666,0.5,0.5428571428571428,0.625,0.5,0.7142857142857143,0.5789473684210527,53,69,1,0,0
2479,2008-01-08,0.5376344086021505,0.4623655913978494,Hard,2nd Round,WTA250_o_menor,24.0,0.6666666666666666,0.5,0.375,0.4166666666666667,0.5,0.25,0.3333333333333333,19,32,0,0,0
2480,2008-01-08,0.6928406466512702,0.3071593533487298,Hard,2nd Round,WTA250_o_menor,-26.0,0.0,0.5,0.675,0.717948717948718,0.5,0.7777777777777778,0.46153846153846156,65,52,1,0,0
2481,2008-01-08,0.645320197044335,0.354679802955665,Hard,2nd Round,WTA250_o_menor,-15.0,0.5,0.5,0.5128205128205128,0.48148148148148145,0.5,0.6086956521739131,0.3333333333333333,74,45,0,0,0
2482,2008-01-08,0.5890052356020942,0.4109947643979057,Hard,2nd Round,WTA250_o_menor,-15.0,0.0,0.75,0.6976744186046512,0.6730769230769231,0.3333333333333333,1.0,0.6842105263157895,66,67,1,0,0
2483,2008-01-08,0.4623655913978494,0.5376344086021505,Hard,2nd Round,WTA250_o_menor,-3.0,1.0,0.75,0.6666666666666666,0.7297297297297297,0.5,0.8,0.8571428571428571,76,51,0,0,0
2484,2008-01-08,0.4109947643979057,0.5890052356020942,Hard,2nd Round,WTA250_o_menor,-10.0,0.0,1.0,0.6981132075471698,0.717391304347826,1.0,0.96,0.8125,90,56,1,0,0
2485,2008-01-09,0.2337164750957854,0.7662835249042146,Hard,Quarterfinals,WTA250_o_menor,23.0,0.6666666666666666,0.5,0.5,0.7045454545454546,0.0,0.5,0.6923076923076923,46,67,0,0,0
2486,2008-01-09,0.7322175732217574,0.2677824267782427,Hard,Quarterfinals,WTA250_o_menor,-24.0,0.3333333333333333,0.75,0.6829268292682927,0.5555555555555556,0.5,0.6363636363636364,0.2,66,54,1,0,0
2487,2008-01-09,0.0783410138248847,0.9216589861751152,Hard,Quarterfinals,WTA250_o_menor,72.0,0.6666666666666666,1.0,0.46153846153846156,0.9523809523809523,0.5,0.5,1.0,33,67,0,0,0
2488,2008-01-09,0.5376344086021505,0.4623655913978494,Hard,Quarterfinals,WTA250_o_menor,9.0,0.8,1.0,0.7368421052631579,0.7037037037037037,0.3333333333333333,0.36363636363636365,0.7222222222222222,52,91,1,0,0
2489,2008-01-10,0.1561181434599156,0.8438818565400843,Hard,Semifinals,WTA250_o_menor,3.0,0.6666666666666666,1.0,0.6904761904761905,0.9534883720930233,0.0,0.5,0.7857142857142857,67,68,0,0,0
2490,2008-01-10,0.5774278215223098,0.4225721784776903,Hard,Semifinals,WTA250_o_menor,-10.0,1.0,0.8333333333333334,0.7111111111111111,0.7435897435897436,1.0,0.5555555555555556,0.0,68,53,1,0,0
2491,2008-01-11,0.1691842900302115,0.8308157099697885,Hard,The Final,WTA250_o_menor,1.0,1.0,1.0,0.717391304347826,0.9545454545454546,0.25,0.0,0.9090909090909091,69,69,0,0,0
2492,2008-01-14,0.645320197044335,0.354679802955665,Hard,1st Round,GS,26.0,0.8,0.0,0.3125,0.3684210526315789,0.5,0.22727272727272727,0.45,33,32,1,0,0
2493,2008-01-14,0.4225721784776903,0.5774278215223098,Hard,1st Round,GS,29.0,0.0,0.6666666666666666,0.5,0.4,0.5,0.5,0.5,6,21,0,1,0
2494,2008-01-14,0.914380714879468,0.085619285120532,Hard,1st Round,GS,-138.0,0.0,0.0,0.8571428571428571,0.15384615384615385,0.5,1.0,0.3333333333333333,41,21,1,0,0
2495,2008-01-14,0.3373493975903614,0.6626506024096386,Hard,1st Round,GS,89.0,0.0,0.0,0.3333333333333333,0.38461538461538464,0.5,0.3333333333333333,0.625,4,13,0,1,0
2496,2008-01-14,0.783001808318264,0.2169981916817359,Hard,1st Round,GS,-35.0,0.5,0.75,0.6909090909090909,0.55,1.0,1.0,0.7333333333333333,92,33,1,0,0
2497,2008-01-14,0.0558178283810052,0.9441821716189948,Hard,1st Round,GS,72.0,0.0,1.0,0.34615384615384615,0.9555555555555556,0.5,0.47619047619047616,1.0,34,70,0,0,0
2498,2008-01-14,0.2337164750957854,0.7662835249042146,Hard,1st Round,GS,275.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,4,14,1,1,0
2499,2008-01-14,0.5376344086021505,0.4623655913978494,Hard,1st Round,GS,11.0,0.0,0.0,0.5,0.14285714285714285,0.5,1.0,0.3333333333333333,2,15,0,1,0
2500,2008-01-14,0.625,0.375,Hard,1st Round,GS,-52.0,0.0,0.3333333333333333,0.2962962962962963,0.2857142857142857,0.5,0.4166666666666667,0.4,36,7,1,0,1
2501,2008-01-14,0.1447368421052631,0.8552631578947368,Hard,1st Round,GS,70.0,0.0,0.8,0.4166666666666667,0.6944444444444444,0.5,0.5,0.7647058823529411,14,50,0,0,0
2502,2008-01-14,0.914380714879468,0.085619285120532,Hard,1st Round,GS,-367.0,0.5,0.0,0.7021276595744681,0.3333333333333333,0.5,0.9333333333333333,0.4,57,9,1,0,1
2503,2008-01-14,0.5135135135135135,0.4864864864864864,Hard,1st Round,GS,-30.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.2857142857142857,0.35714285714285715,23,40,0,0,0
2504,2008-01-14,0.914380714879468,0.085619285120532,Hard,1st Round,GS,-14.0,1.0,0.6666666666666666,0.9473684210526315,0.6,1.0,1.0,0.625,19,20,1,0,0
2505,2008-01-14,0.1248541423570595,0.8751458576429404,Hard,1st Round,GS,70.0,0.0,0.0,0.5555555555555556,0.7142857142857143,0.5,0.4166666666666667,0.9285714285714286,23,54,0,0,0
2506,2008-01-14,0.8900523560209423,0.1099476439790576,Hard,1st Round,GS,-78.0,0.6666666666666666,0.0,0.64,0.26666666666666666,0.5,0.7142857142857143,0.3333333333333333,42,22,1,0,0
2507,2008-01-14,0.5376344086021505,0.4623655913978494,Hard,1st Round,GS,-2.0,0.5,0.0,0.2,0.4444444444444444,0.5,0.36363636363636365,0.26666666666666666,16,24,0,0,0
2508,2008-01-14,0.3923076923076922,0.6076923076923076,Hard,1st Round,GS,24.0,0.5,0.0,0.5,0.52,0.5,0.5416666666666666,0.5263157894736842,44,38,1,0,0
2509,2008-01-14,0.0942028985507246,0.9057971014492752,Hard,1st Round,GS,90.0,0.0,0.6,0.16666666666666666,0.660377358490566,0.5,0.2857142857142857,0.85,11,68,0,0,0
2510,2008-01-14,0.92790863668808,0.07209136331192,Hard,1st Round,GS,-97.0,0.0,0.0,0.8076923076923077,0.5,0.5,1.0,0.45454545454545453,44,17,1,0,0
2511,2008-01-14,0.4225721784776903,0.5774278215223098,Hard,1st Round,GS,-28.0,0.0,0.3333333333333333,0.3333333333333333,0.35294117647058826,0.5,0.42857142857142855,0.46153846153846156,28,21,0,0,0
2512,2008-01-14,0.7096069868995633,0.2903930131004367,Hard,1st Round,GS,-69.0,0.5,0.0,0.4074074074074074,0.3333333333333333,0.5,0.6363636363636364,0.5,48,3,1,0,1
2513,2008-01-14,0.0942028985507246,0.9057971014492752,Hard,1st Round,GS,76.0,0.0,0.75,0.3333333333333333,0.6153846153846154,0.5,0.4166666666666667,0.8636363636363636,19,73,0,0,0
2514,2008-01-14,0.6076923076923076,0.3923076923076922,Hard,1st Round,GS,-11.0,0.6,0.5,0.5625,0.46153846153846156,0.0,0.5185185185185185,0.631578947368421,59,38,1,0,0
2515,2008-01-14,0.5376344086021505,0.4623655913978494,Hard,1st Round,GS,-95.0,0.5,0.0,0.38461538461538464,0.16666666666666666,0.5,0.6666666666666666,0.16666666666666666,25,7,0,0,1
2516,2008-01-14,0.354679802955665,0.645320197044335,Hard,1st Round,GS,48.0,0.0,1.0,0.0,0.2857142857142857,0.5,0.16666666666666666,0.2857142857142857,15,20,1,0,0
2517,2008-01-14,0.1691842900302115,0.8308157099697885,Hard,1st Round,GS,20.0,0.0,0.5,0.45454545454545453,0.4827586206896552,0.0,0.5833333333333334,0.7368421052631579,47,47,0,0,0
2518,2008-01-14,0.7322175732217574,0.2677824267782427,Hard,1st Round,GS,-135.0,0.0,0.0,0.3333333333333333,0.25,0.5,0.5,0.3333333333333333,6,4,1,1,1
2519,2008-01-14,0.1856677524429967,0.8143322475570033,Hard,1st Round,GS,97.0,0.0,0.3333333333333333,0.3125,0.6122448979591837,0.0,0.4666666666666667,0.7407407407407407,24,70,0,0,0
2520,2008-01-14,0.6880733944954128,0.3119266055045871,Hard,1st Round,GS,-29.0,0.3333333333333333,0.6666666666666666,0.7,0.47368421052631576,0.5,0.7391304347826086,0.5333333333333333,53,26,1,0,0
2521,2008-01-14,0.354679802955665,0.645320197044335,Hard,1st Round,GS,-2.0,0.5,0.0,0.42857142857142855,0.4827586206896552,0.0,0.5263157894736842,0.5454545454545454,34,39,0,0,0
2522,2008-01-14,0.9216589861751152,0.0783410138248847,Hard,1st Round,GS,-45.0,0.7142857142857143,0.5,0.725,0.5625,0.5,1.0,0.7272727272727273,54,25,1,0,0
2523,2008-01-15,0.3119266055045871,0.6880733944954128,Hard,1st Round,GS,341.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.5555555555555556,1,17,0,1,0
2524,2008-01-15,0.4414893617021276,0.5585106382978724,Hard,1st Round,GS,-2.0,0.5,0.0,0.4166666666666667,0.4444444444444444,0.5,0.6363636363636364,0.4375,22,27,1,0,0
2525,2008-01-15,0.1035856573705179,0.896414342629482,Hard,1st Round,GS,99.0,0.0,0.5,0.44,0.6545454545454545,0.5,0.5238095238095238,0.75,35,77,0,0,0
2526,2008-01-15,0.5135135135135135,0.4864864864864864,Hard,1st Round,GS,16.0,0.0,0.0,0.391304347826087,0.36,0.5,0.3333333333333333,0.5384615384615384,35,47,1,0,0
